,Order Number,Date of Order,Time of Order,Lineitem name,Accepts Marketing,Cancelled/Not,Currency,Financial Status,Fulfillment Status,Lineitem fulfillment status,Lineitem price,Lineitem quantity,Lineitem requires shipping,Outstanding Balance,Payment Method,Refunded Amount,Risk Level,Shipping,Shipping Country,Shipping Method,Source,Subtotal,Total,Category
11,R-S-1009,02/06/2016,14:21:28,Wide Pants - Military / M,No,Cancelled,USD,Pending,Unfulfilled,Pending,50,1,1,50,Custom,0,Low,0,LB,Free Shipping,Web,50,50,Pants
12,R-S-1010,15/08/2016,22:49:24,Sally Skirt - Multi / S,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,200,1,1,0,Checkout,0,Low,15,US,Aramex,Web,200,215,Skirt
13,R-S-1011,29/08/2016,13:40:47,Citron Wide Pants - M,No,Cancelled,USD,Pending,Unfulfilled,Pending,50,1,1,50,Custom,0,Low,0,LB,Free Shipping,Web,50,50,Pants
14,R-S-1012,23/10/2016,15:46:47,Mia White Sweater Dress - M / White,No,Not Cancelled,USD,Pending,Unfulfilled,Pending,38,1,1,0,Custom,0,0,0,LB,0,Web,0,0,Dress
15,R-S-1012,23/10/2016,15:46:47,Oversized Quilted Sweater Dress-Emerald - One Size,No,Cancelled,USD,Pending,Unfulfilled,Pending,60,1,1,98,Custom,0,Low,0,LB,Free Shipping,Web,98,98,Dress
16,R-S-1013,29/12/2016,11:22:53,Lightweight Military Bomber Jacket - S,No,Cancelled,USD,Pending,Unfulfilled,Pending,100,1,1,300,Custom,0,Low,0,LB,Free Shipping,Web,300,300,Jacket
17,R-S-1013,29/12/2016,11:22:53,Pink Bomber Ensemble - S,No,Not Cancelled,USD,Pending,Unfulfilled,Pending,200,1,1,0,Custom,0,0,0,LB,0,Web,0,0,Ensemble
18,R-S-1014,05/01/2017,22:15:07,Black Maxi Knitted Dress,No,Cancelled,USD,Pending,Unfulfilled,Pending,80,1,1,240,Custom,0,Low,0,LB,Free Shipping,Web,240,240,Dress
19,R-S-1014,05/01/2017,22:15:07,Burgundy Maxi Knitted Dress,No,Not Cancelled,USD,Pending,Unfulfilled,Pending,80,1,1,0,Custom,0,0,0,LB,0,Web,0,0,Dress
20,R-S-1014,05/01/2017,22:15:07,Emerald Maxi Knitted Dress,No,Not Cancelled,USD,Pending,Unfulfilled,Pending,80,1,1,0,Custom,0,0,0,LB,0,Web,0,0,Dress
21,R-S-1015,25/01/2017,12:03:42,Jade Bicolor  Scarf,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,60,1,0,0,Checkout,0,Low,15,FR,Aramex,Web,120,135,Scarf
22,R-S-1015,25/01/2017,12:03:42,Oversized Quilted Sweater Dress-Emerald - One Size,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,60,1,1,0,Checkout,0,0,0,FR,0,Web,0,0,Dress
23,R-S-1016,25/01/2017,19:56:27,Emerald Maxi Knitted Dress,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,80,1,1,0,Checkout,0,Low,10,GB,Aramex,Web,80,90,Dress
24,R-S-1017,14/02/2017,22:10:48,Grey Waistcoat,No,Cancelled,USD,Pending,Unfulfilled,Pending,130,1,1,130,Custom,0,Low,0,LB,Free Shipping,Web,130,130,Waistcoat
25,R-S-1018,20/02/2017,14:11:01,Grey Sweat Suit - L,No,Cancelled,USD,Pending,Unfulfilled,Pending,80,1,1,80,Custom,0,Low,0,LB,Free Shipping,Web,80,80,Suit
26,R-S-1019,17/03/2017,0:17:25,Nadia Black and White Abaya - Black / One Size,No,Cancelled,USD,Paid,Unfulfilled,Pending,200,1,1,0,Checkout,0,Low,25,US,Aramex,Web,200,225,Abaya
27,R-S-1020,01/04/2017,22:23:11,Burgundy Maxi Knitted Dress,No,Cancelled,USD,Pending,Unfulfilled,Pending,80,1,1,90,Custom,0,Low,10,AE,UPS,Web,80,90,Dress
28,R-S-1021,15/05/2017,12:37:59,Oversized Blackberry Shirtdress - OS,No,Not Cancelled,USD,Pending,Unfulfilled,Fulfilled,80,1,1,0,Custom,0,0,0,AE,0,Web,0,0,Shirtdress
29,R-S-1021,15/05/2017,12:37:59,Pink Pique Tunic - M,No,Not Cancelled,USD,Pending,Unfulfilled,Fulfilled,45,1,1,0,Custom,0,0,0,AE,0,Web,0,0,Sweat Pants
30,R-S-1021,15/05/2017,12:37:59,Red Milly Top - Red / M,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,70,1,1,0,Checkout,0,Low,25,FR,Aramex,Web,195,220,Top
31,R-S-1022,20/05/2017,20:58:29,Pink May Ribbon Tunic - M,No,Cancelled,USD,Pending,Unfulfilled,Pending,70,1,1,75,Custom,0,Low,5,AE,UPS,Web,70,75,Sweat Pants
32,R-S-1023,21/05/2017,12:32:12,Overized Nude Shirtdress - M,No,Cancelled,USD,Pending,Unfulfilled,Pending,85,1,1,85,Custom,0,Low,0,LB,Free Shipping,Web,85,85,Shirtdress
33,R-S-1024,22/05/2017,16:54:34,Black Skirt Pants - Black / M,No,Not Cancelled,USD,Pending,Unfulfilled,Pending,80,1,1,0,Custom,0,0,0,LB,0,Web,0,0,Pants
34,R-S-1024,22/05/2017,16:54:34,Grey Ruffle Sleeve Shirtdress - M,No,Not Cancelled,USD,Pending,Unfulfilled,Pending,60,1,1,0,Custom,0,0,0,LB,0,Web,0,0,Shirtdress
35,R-S-1024,22/05/2017,16:54:34,Overized Nude Shirtdress - S,No,Cancelled,USD,Pending,Unfulfilled,Pending,85,1,1,225,Custom,0,Low,0,LB,Free Shipping,Web,225,225,Shirtdress
36,R-S-1025,22/05/2017,18:04:08,Black & White Culotte Pants - L,No,Not Cancelled,USD,Pending,Unfulfilled,Fulfilled,60,1,1,0,Custom,0,0,0,LB,0,Web,0,0,Pants
37,R-S-1025,22/05/2017,18:04:08,Black & White Waterfall Top - L,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,90,1,1,0,Checkout,0,Low,0,QA,Free Shipping,Web,275,275,Top
38,R-S-1025,22/05/2017,18:04:08,Black Sweat Suit - L,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,80,1,1,0,Checkout,0,0,0,QA,0,Web,0,0,Suit
39,R-S-1025,22/05/2017,18:04:08,White Basic Cotton Sweat Dress - White / L,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,45,1,1,0,Checkout,0,0,0,QA,0,Web,0,0,Dress
40,R-S-1026,26/05/2017,11:37:08,Navy Phantom Shirtdress - OS,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,80,1,1,0,Checkout,0,Low,0,LB,Free Shipping,Web,80,80,Shirtdress
41,R-S-1034,08/06/2017,14:28:38,Cardinal OmbrÌ© Scarf,No,Not Cancelled,USD,Paid,Fulfilled,Pending,60,1,0,0,Checkout,0,0,0,LB,0,Web,0,0,Scarf
42,R-S-1034,08/06/2017,14:28:38,Red May Top - L,No,Cancelled,USD,Pending,Unfulfilled,Pending,60,1,1,220,Custom,0,Low,0,LB,Free Shipping,Web,220,220,Top
43,R-S-1034,08/06/2017,14:28:38,Red Sherwal Pants - OS,No,Not Cancelled,USD,Pending,Unfulfilled,Pending,100,1,1,0,Custom,0,0,0,LB,0,Web,0,0,Pants
44,R-S-1035,08/06/2017,20:42:49,Black and White Zip-Up Top - S,No,Not Cancelled,USD,Pending,Unfulfilled,Fulfilled,100,1,1,0,Custom,0,0,0,LB,0,Web,0,0,Top
45,R-S-1035,08/06/2017,20:42:49,Grey Ruffle Sleeve Shirtdress - S,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,60,1,1,0,Checkout,0,Low,0,LB,Free Shipping,Web,395,395,Shirtdress
46,R-S-1035,08/06/2017,20:42:49,Grey Sweat Suit - S,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,80,1,1,0,Checkout,0,0,0,LB,0,Web,0,0,Suit
47,R-S-1035,08/06/2017,20:42:49,Pink Crepe Culotte Pants - S,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,110,1,1,0,Checkout,0,0,0,LB,0,Web,0,0,Pants
48,R-S-1035,08/06/2017,20:42:49,Pink Pique Tunic - S,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,45,1,1,0,Checkout,0,0,0,LB,0,Web,0,0,Sweat Pants
49,R-S-1036,07/08/2017,16:01:27,Blue Flare Shirtdress - L,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,70,1,1,0,Checkout,0,0,0,LB,0,Web,0,0,Shirtdress
50,R-S-1036,07/08/2017,16:01:27,Grey Ruffle Sleeve Shirtdress - L,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,60,1,1,0,Checkout,0,0,0,LB,0,Web,0,0,Shirtdress
51,R-S-1036,07/08/2017,16:01:27,Lace Phantom Top - OS,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,150,1,1,0,Checkout,0,Low,0,ES,Free Shipping,Web,950,950,Top
52,R-S-1036,07/08/2017,16:01:27,Light Navy Cape,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,160,1,1,0,Checkout,0,0,0,ES,0,Web,0,0,Cape
53,R-S-1036,07/08/2017,16:01:27,Magenta OmbrÌ© Scarf,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,60,1,0,0,Checkout,0,0,0,ES,0,Web,0,0,Scarf
54,R-S-1036,07/08/2017,16:01:27,Maxi Military Shirt Dress - M,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,80,1,1,0,Checkout,0,0,0,ES,0,Web,0,0,Dress
55,R-S-1036,07/08/2017,16:01:27,Overized Nude Shirtdress - OS,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,85,1,1,0,Checkout,0,0,0,ES,0,Web,0,0,Shirtdress
56,R-S-1036,07/08/2017,16:01:27,Oversized Blackberry Shirtdress - OS,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,80,1,1,0,Checkout,0,0,0,ES,0,Web,0,0,Shirtdress
57,R-S-1036,07/08/2017,16:01:27,Pink May Ribbon Tunic - L,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,70,1,1,0,Checkout,0,0,0,ES,0,Web,0,0,Sweat Pants
58,R-S-1036,07/08/2017,16:01:27,Pink Pique Tunic - L,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,45,1,1,0,Checkout,0,0,0,ES,0,Web,0,0,Sweat Pants
59,R-S-1036,07/08/2017,16:01:27,White Basic Cotton Sweater - White / L,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,35,1,1,0,Checkout,0,0,0,ES,0,Web,0,0,Sweater
60,R-S-1036,07/08/2017,16:01:27,White Cotton Shirtdress - L,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,55,1,1,0,Checkout,0,0,0,ES,0,Web,0,0,Shirtdress
61,R-S-1037,09/09/2017,22:24:55,Black Jersey With Shirt Detail - S,No,Not Cancelled,USD,Paid,Fulfilled,Pending,45,1,1,0,Checkout,0,0,0,ES,0,Web,0,0,Sweat Pants
62,R-S-1037,09/09/2017,22:24:55,Black Sweat Suit - S,No,Cancelled,USD,Pending,Unfulfilled,Pending,80,1,1,160,Custom,0,Low,0,LB,Free Shipping,Web,160,160,Suit
63,R-S-1037,09/09/2017,22:24:55,White Basic Cotton Sweater - White / M,No,Not Cancelled,USD,Pending,Unfulfilled,Pending,35,1,1,0,Custom,0,0,0,LB,0,Web,0,0,Sweater
64,R-S-1038,01/11/2017,7:00:05,Black Maxi Knitted Dress,No,Not Cancelled,USD,Pending,Unfulfilled,Fulfilled,80,1,1,0,Custom,0,0,0,LB,0,Web,0,0,Dress
65,R-S-1038,01/11/2017,7:00:05,Blue Colorblock  Top - L,No,Not Cancelled,USD,Pending,Unfulfilled,Fulfilled,55,1,1,0,Custom,0,0,0,LB,0,Web,0,0,Top
66,R-S-1038,01/11/2017,7:00:05,Burgundy Maxi Knitted Dress,No,Not Cancelled,USD,Pending,Unfulfilled,Fulfilled,80,1,1,0,Custom,0,0,0,LB,0,Web,0,0,Dress
67,R-S-1038,01/11/2017,7:00:05,Hybrid Colorblock Pants - M,No,Not Cancelled,USD,Pending,Unfulfilled,Fulfilled,80,1,1,0,Custom,0,0,0,LB,0,Web,0,0,Pants
68,R-S-1038,01/11/2017,7:00:05,Lightweight Military Bomber Jacket - M,No,Not Cancelled,USD,Pending,Unfulfilled,Fulfilled,100,1,1,0,Custom,0,0,0,LB,0,Web,0,0,Jacket
69,R-S-1038,01/11/2017,7:00:05,Military Ribbon Pants - M,No,Not Cancelled,USD,Pending,Unfulfilled,Fulfilled,55,1,1,0,Custom,0,0,0,LB,0,Web,0,0,Pants
70,R-S-1038,01/11/2017,7:00:05,Pink Sweat Suit - L,No,Not Cancelled,USD,Pending,Unfulfilled,Fulfilled,80,1,1,0,Custom,0,0,0,LB,0,Web,0,0,Suit
71,R-S-1038,01/11/2017,7:00:05,Red Puff Sleeve Dress - L,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,55,1,1,0,Checkout,0,Low,0,US,Free Shipping,Web,585,585,Dress
72,R-S-1039,05/11/2017,7:01:13,Pleated White & Silver Ensemble - OS,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,140,1,1,0,Checkout,0,Low,20,CA,Aramex,Web,140,160,Ensemble
73,R-S-1040,26/11/2017,21:12:10,Grey Knitted Coord Set,No,Cancelled,USD,Voided,Unfulfilled,Pending,85,1,1,85,Custom,0,Low,0,LB,Free Shipping,Web,85,85,Set
74,R-S-1041,27/11/2017,19:51:31,Pink Bomber Ensemble - S,No,Cancelled,USD,Voided,Unfulfilled,Pending,120,1,1,123,Custom,0,Low,3,LB,Local shipping,Web,120,123,Ensemble
75,R-S-1042,27/11/2017,20:38:27,Floral Quilted Cardigan - Black / One Size,No,Cancelled,USD,Voided,Unfulfilled,Pending,50,1,1,208,Custom,0,Low,3,LB,Local shipping,Web,205,208,Cardigan
76,R-S-1042,27/11/2017,20:38:27,Maxi Blue Jaquard Skirt - M,No,Not Cancelled,USD,Voided,Unfulfilled,Pending,35,1,1,0,Custom,0,0,0,LB,0,Web,0,0,Skirt
77,R-S-1042,27/11/2017,20:38:27,Oversized Quilted Sweater Dress-Emerald - One Size,No,Not Cancelled,USD,Voided,Unfulfilled,Pending,40,1,1,0,Custom,0,0,0,LB,0,Web,0,0,Dress
78,R-S-1042,27/11/2017,20:38:27,Pink Oversized Maxi Dress - M / Pink,No,Not Cancelled,USD,Voided,Unfulfilled,Pending,30,1,1,0,Custom,0,0,0,LB,0,Web,0,0,Dress
79,R-S-1042,27/11/2017,20:38:27,Striped Navy Shirtdress - L / Blue,No,Not Cancelled,USD,Voided,Unfulfilled,Pending,20,1,1,0,Custom,0,0,0,LB,0,Web,0,0,Shirtdress
80,R-S-1042,27/11/2017,20:38:27,White Cross Shirt - M,No,Not Cancelled,USD,Voided,Unfulfilled,Pending,30,1,1,0,Custom,0,0,0,LB,0,Web,0,0,Sweat Pants
81,R-S-1043,27/11/2017,21:05:36,Basic Black Skirt - Black / M,No,Cancelled,USD,Voided,Unfulfilled,Pending,20,1,1,23,Custom,0,Low,3,LB,Local shipping,Web,20,23,Skirt
82,R-S-1044,27/11/2017,21:11:05,Jane Austin Skirt - M,No,Cancelled,USD,Voided,Unfulfilled,Pending,60,1,1,63,Custom,0,Low,3,LB,Local shipping,Web,60,63,Skirt
83,R-S-1045,27/11/2017,21:42:49,Hi-Lo Top - White / M,No,Cancelled,USD,Voided,Unfulfilled,Pending,15,1,1,18,Custom,0,Low,3,LB,Local shipping,Web,15,18,Top
84,R-S-1046,27/11/2017,23:29:28,Basic Blue Shirtdress - L / Blue,No,Cancelled,USD,Voided,Unfulfilled,Pending,20,1,1,143,Custom,0,Low,3,LB,Local shipping,Web,140,143,Shirtdress
85,R-S-1046,27/11/2017,23:29:28,Draped Diana Vest - White / One Size,No,Not Cancelled,USD,Voided,Unfulfilled,Pending,35,1,1,0,Custom,0,0,0,LB,0,Web,0,0,Vest
86,R-S-1046,27/11/2017,23:29:28,Phantom Dress - Black / One Size / Short,No,Not Cancelled,USD,Voided,Unfulfilled,Pending,25,1,1,0,Custom,0,0,0,LB,0,Web,0,0,Dress
87,R-S-1046,27/11/2017,23:29:28,Pink Oversized Maxi Dress - L / Pink,No,Not Cancelled,USD,Voided,Unfulfilled,Pending,30,1,1,0,Custom,0,0,0,LB,0,Web,0,0,Dress
88,R-S-1046,27/11/2017,23:29:28,White Phantom Dress - White / One Size,No,Not Cancelled,USD,Voided,Unfulfilled,Pending,30,1,1,0,Custom,0,0,0,LB,0,Web,0,0,Dress
89,R-S-1047,28/11/2017,0:51:38,Belted Blue Shirtdress - M / Blue,No,Not Cancelled,USD,Voided,Unfulfilled,Pending,25,1,1,0,Custom,0,0,0,LB,0,Web,0,0,Shirtdress
90,R-S-1047,28/11/2017,0:51:38,Blue Grosgrain Longline Jacket - S,No,Not Cancelled,USD,Voided,Unfulfilled,Pending,40,1,1,0,Custom,0,0,0,LB,0,Web,0,0,Jacket
91,R-S-1047,28/11/2017,0:51:38,BouclÌ© Detail Shirtdress - M,No,Not Cancelled,USD,Voided,Unfulfilled,Pending,35,1,1,0,Custom,0,0,0,LB,0,Web,0,0,Shirtdress
92,R-S-1047,28/11/2017,0:51:38,Burgundy Phantom Top,No,Not Cancelled,USD,Voided,Unfulfilled,Pending,30,1,1,0,Custom,0,0,0,LB,0,Web,0,0,Top
93,R-S-1047,28/11/2017,0:51:38,Maxi Navy Shirt Dress - S,No,Cancelled,USD,Voided,Unfulfilled,Pending,40,1,1,213,Custom,0,Low,3,LB,Local shipping,Web,210,213,Dress
94,R-S-1047,28/11/2017,0:51:38,Mia Sweatsuit - M / Navy,No,Not Cancelled,USD,Voided,Unfulfilled,Pending,40,1,1,0,Custom,0,0,0,LB,0,Web,0,0,Sweatsuit
95,R-S-1048,28/11/2017,13:34:02,Belted Blue Shirtdress - M / Blue,No,Not Cancelled,USD,Voided,Unfulfilled,Pending,25,1,1,0,Custom,0,0,0,LB,0,Web,0,0,Shirtdress
96,R-S-1048,28/11/2017,13:34:02,Black & White Ribbon Dress - S / Black,No,Cancelled,USD,Voided,Unfulfilled,Pending,35,1,1,98,Custom,0,Low,3,LB,Local shipping,Web,95,98,Dress
97,R-S-1048,28/11/2017,13:34:02,Oversized Diana Sweater Dress - S / White,No,Not Cancelled,USD,Voided,Unfulfilled,Pending,35,1,1,0,Custom,0,0,0,LB,0,Web,0,0,Dress
98,R-S-1049,28/11/2017,16:50:15,Black Ruffle Dress - M / Black,No,Cancelled,USD,Paid,Unfulfilled,Pending,29,1,1,0,Checkout,0,Low,3,LB,Local shipping,Web,29,32,Dress
99,R-S-1050,28/11/2017,17:36:10,Mia Silk Sweater Dress - S,No,Cancelled,USD,Voided,Unfulfilled,Pending,35,1,1,38,Custom,0,Low,3,LB,Local shipping,Web,35,38,Dress
100,R-S-1051,28/11/2017,22:24:00,Maggy BouclÌ© Sweater Dress - Black / M,No,Cancelled,USD,Voided,Unfulfilled,Pending,50,1,1,53,Custom,0,Low,3,LB,Local shipping,Web,50,53,Dress
101,R-S-1052,28/11/2017,22:38:00,Basic White Shirtdress - M / White / Short,No,Not Cancelled,USD,Voided,Unfulfilled,Pending,20,1,1,0,Custom,0,0,0,LB,0,Web,0,0,Shirtdress
102,R-S-1052,28/11/2017,22:38:00,Belted Blue Shirtdress - L / Blue,No,Cancelled,USD,Voided,Unfulfilled,Pending,25,1,1,77,Custom,0,Low,3,LB,Local shipping,Web,74,77,Shirtdress
103,R-S-1052,28/11/2017,22:38:00,White Ruffle Dress - M / White,No,Not Cancelled,USD,Voided,Unfulfilled,Pending,29,1,1,0,Custom,0,0,0,LB,0,Web,0,0,Dress
104,R-S-1053,28/11/2017,23:59:12,Citron Bomber Jacket - M,No,Not Cancelled,USD,Voided,Unfulfilled,Pending,35,1,1,0,Custom,0,0,0,LB,0,Web,0,0,Jacket
105,R-S-1053,28/11/2017,23:59:12,Pink Oversized Maxi Dress - M / Pink,No,Cancelled,USD,Voided,Unfulfilled,Pending,30,1,1,113,Custom,0,Low,3,LB,Local shipping,Web,110,113,Dress
106,R-S-1053,28/11/2017,23:59:12,Striped Navy Shirtdress - L / Blue,No,Not Cancelled,USD,Voided,Unfulfilled,Pending,20,1,1,0,Custom,0,0,0,LB,0,Web,0,0,Shirtdress
107,R-S-1053,28/11/2017,23:59:12,Wide Pants - Black / M,No,Not Cancelled,USD,Voided,Unfulfilled,Pending,25,1,1,0,Custom,0,0,0,LB,0,Web,0,0,Pants
108,R-S-1054,29/11/2017,0:58:34,Mia White Sweater Dress - M / White,No,Cancelled,USD,Voided,Unfulfilled,Pending,20,1,1,23,Custom,0,Low,3,LB,Local shipping,Web,20,23,Dress
109,R-S-1055,29/11/2017,1:06:55,Black Quilted Draped Vest - Black / One Size,No,Cancelled,USD,Voided,Unfulfilled,Pending,30,1,1,133,Custom,0,Low,3,LB,Local shipping,Web,130,133,Vest
110,R-S-1055,29/11/2017,1:06:55,Cape Jacket - M / White,No,Not Cancelled,USD,Voided,Unfulfilled,Pending,70,1,1,0,Custom,0,0,0,LB,0,Web,0,0,Jacket
111,R-S-1055,29/11/2017,1:06:55,Tulle Skirt - Cream / M,No,Not Cancelled,USD,Voided,Unfulfilled,Pending,30,1,1,0,Custom,0,0,0,LB,0,Web,0,0,Skirt
112,R-S-1056,29/11/2017,10:07:26,Hi-Lo Top - White / L,No,Not Cancelled,USD,Voided,Unfulfilled,Pending,15,1,1,0,Custom,0,0,0,LB,0,Web,0,0,Top
113,R-S-1056,29/11/2017,10:07:26,Wide Pants - Military / L,No,Cancelled,USD,Voided,Unfulfilled,Pending,25,1,1,43,Custom,0,Low,3,LB,Local shipping,Web,40,43,Pants
114,R-S-1057,29/11/2017,10:23:28,Dust Pink Phantom Co-ord - L,No,Cancelled,USD,Voided,Unfulfilled,Pending,80,1,1,205,Custom,0,Low,30,KW,Aramex,Web,175,205,Sweat Pants
115,R-S-1057,29/11/2017,10:23:28,Emerald Quilted Draped Vest - Emerald / One Size,No,Not Cancelled,USD,Voided,Unfulfilled,Pending,30,1,1,0,Custom,0,0,0,KW,0,Web,0,0,Vest
116,R-S-1057,29/11/2017,10:23:28,Scarlet Vest - Red / M,No,Not Cancelled,USD,Voided,Unfulfilled,Pending,35,1,1,0,Custom,0,0,0,KW,0,Web,0,0,Vest
117,R-S-1057,29/11/2017,10:23:28,Striped Vest,No,Not Cancelled,USD,Voided,Unfulfilled,Pending,30,1,1,0,Custom,0,0,0,KW,0,Web,0,0,Vest
118,R-S-1058,29/11/2017,14:13:29,Mia Silk Sweater Dress - M,No,Not Cancelled,USD,Voided,Unfulfilled,Pending,35,1,1,0,Custom,0,0,0,KW,0,Web,0,0,Dress
119,R-S-1058,29/11/2017,14:13:29,Quilted Cardigan - Emerald / One Size,No,Not Cancelled,USD,Voided,Unfulfilled,Pending,40,1,1,0,Custom,0,0,0,KW,0,Web,0,0,Cardigan
120,R-S-1058,29/11/2017,14:13:29,Striped Blue Shirtdress - M / Blue,No,Cancelled,USD,Voided,Unfulfilled,Pending,25,1,1,103,Custom,0,Low,3,LB,Local shipping,Web,100,103,Shirtdress
121,R-S-1059,29/11/2017,23:54:13,Black Sweatdress with Pearls - M,No,Not Cancelled,USD,Voided,Unfulfilled,Pending,60,1,1,0,Custom,0,0,0,LB,0,Web,0,0,Sweatdress
122,R-S-1059,29/11/2017,23:54:13,Phantom Top With Lace,No,Cancelled,USD,Paid,Unfulfilled,Pending,70,1,1,0,Checkout,0,Low,30,FR,Aramex,Web,130,160,Top
123,R-S-1060,30/11/2017,0:05:39,Mint Jaquard Dress - M,No,Not Cancelled,USD,Paid,Unfulfilled,Pending,30,1,1,0,Checkout,0,0,0,FR,0,Web,0,0,Dress
124,R-S-1060,30/11/2017,0:05:39,Oversized Quilted Sweater Dress-Emerald - One Size,No,Not Cancelled,USD,Paid,Unfulfilled,Pending,40,1,1,0,Checkout,0,0,0,FR,0,Web,0,0,Dress
125,R-S-1060,30/11/2017,0:05:39,Tulle Overlay Top - M,No,Not Cancelled,USD,Paid,Unfulfilled,Pending,18,1,1,0,Checkout,0,0,0,FR,0,Web,0,0,Top
126,R-S-1060,30/11/2017,0:05:39,White Oversized Maxi Dress - M / White,No,Cancelled,USD,Voided,Unfulfilled,Pending,30,1,1,150,Custom,0,Low,3,LB,Local shipping,Web,147,150,Dress
127,R-S-1060,30/11/2017,0:05:39,White Ruffle Dress - M / White,No,Not Cancelled,USD,Voided,Unfulfilled,Pending,29,1,1,0,Custom,0,0,0,LB,0,Web,0,0,Dress
128,R-S-1061,30/11/2017,11:43:34,Black Jersey With Shirt Detail - S,No,Not Cancelled,USD,Voided,Unfulfilled,Pending,25,1,1,0,Custom,0,0,0,LB,0,Web,0,0,Sweat Pants
129,R-S-1061,30/11/2017,11:43:34,Hi-Lo White Top - M,No,Cancelled,USD,Voided,Unfulfilled,Pending,25,1,1,53,Custom,0,Low,3,LB,Local shipping,Web,50,53,Top
