,Order Number,Date of Order,Time of Order,Lineitem name,Accepts Marketing,Cancelled/Not,Currency,Financial Status,Fulfillment Status,Lineitem fulfillment status,Lineitem price,Lineitem quantity,Lineitem requires shipping,Outstanding Balance,Payment Method,Refunded Amount,Risk Level,Shipping,Shipping Country,Shipping Method,Source,Subtotal,Total,Category
10,R-S-1008,2016-05-06,01:02:03,Mia Track Suit - L / Navy,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,110.0,1,1,0.0,Checkout,0.0,Low,15.0,US,Aramex,Web,155.0,170.0,Suit
11,R-S-1009,2016-06-02,14:21:28,Wide Pants - Military / M,No,Cancelled,USD,Pending,Unfulfilled,Pending,50.0,1,1,50.0,Custom,0.0,Low,0.0,LB,Free shipping,Web,50.0,50.0,Pants
12,R-S-1010,2016-08-15,22:49:24,Sally Skirt - Multi / S,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,200.0,1,1,0.0,Checkout,0.0,Low,15.0,US,Aramex,Web,200.0,215.0,Skirt
13,R-S-1011,2016-08-29,13:40:47,Citron Wide Pants - M,No,Cancelled,USD,Pending,Unfulfilled,Pending,50.0,1,1,50.0,Custom,0.0,Low,0.0,LB,Free shipping,Web,50.0,50.0,Pants
14,R-S-1012,2016-10-23,15:46:47,Mia White Sweater Dress - M / White,No,Not Cancelled,USD,Pending,Unfulfilled,Pending,38.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Dress
15,R-S-1012,2016-10-23,15:46:47,Oversized Quilted Sweater Dress-Emerald - One Size,No,Cancelled,USD,Pending,Unfulfilled,Pending,60.0,1,1,98.0,Custom,0.0,Low,0.0,LB,Free shipping,Web,98.0,98.0,Dress
16,R-S-1013,2016-12-29,11:22:53,Lightweight Military Bomber Jacket - S,No,Cancelled,USD,Pending,Unfulfilled,Pending,100.0,1,1,300.0,Custom,0.0,Low,0.0,LB,Free shipping,Web,300.0,300.0,Jacket
17,R-S-1013,2016-12-29,11:22:53,Pink Bomber Ensemble - S,No,Not Cancelled,USD,Pending,Unfulfilled,Pending,200.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Ensemble
18,R-S-1014,2017-01-05,22:15:07,Black Maxi Knitted Dress,No,Cancelled,USD,Pending,Unfulfilled,Pending,80.0,1,1,240.0,Custom,0.0,Low,0.0,LB,Free shipping,Web,240.0,240.0,Dress
19,R-S-1014,2017-01-05,22:15:07,Burgundy Maxi Knitted Dress,No,Not Cancelled,USD,Pending,Unfulfilled,Pending,80.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Dress
20,R-S-1014,2017-01-05,22:15:07,Emerald Maxi Knitted Dress,No,Not Cancelled,USD,Pending,Unfulfilled,Pending,80.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Dress
21,R-S-1015,2017-01-25,12:03:42,Jade Bicolor  Scarf,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,60.0,1,0,0.0,Checkout,0.0,Low,15.0,FR,Aramex,Web,120.0,135.0,Scarf
22,R-S-1015,2017-01-25,12:03:42,Oversized Quilted Sweater Dress-Emerald - One Size,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,60.0,1,1,0.0,Checkout,0.0,0,0.0,FR,Local shipping,Web,0.0,0.0,Dress
23,R-S-1016,2017-01-25,19:56:27,Emerald Maxi Knitted Dress,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,80.0,1,1,0.0,Checkout,0.0,Low,10.0,GB,Aramex,Web,80.0,90.0,Dress
24,R-S-1017,2017-02-14,22:10:48,Grey Waistcoat,No,Cancelled,USD,Pending,Unfulfilled,Pending,130.0,1,1,130.0,Custom,0.0,Low,0.0,LB,Free shipping,Web,130.0,130.0,Waistcoat
25,R-S-1018,2017-02-20,14:11:01,Grey Sweat Suit - L,No,Cancelled,USD,Pending,Unfulfilled,Pending,80.0,1,1,80.0,Custom,0.0,Low,0.0,LB,Free shipping,Web,80.0,80.0,Suit
26,R-S-1019,2017-03-17,00:17:25,Nadia Black and White Abaya - Black / One Size,No,Cancelled,USD,Paid,Unfulfilled,Pending,200.0,1,1,0.0,Checkout,0.0,Low,25.0,US,Aramex,Web,200.0,225.0,Abaya
27,R-S-1020,2017-04-01,22:23:11,Burgundy Maxi Knitted Dress,No,Cancelled,USD,Pending,Unfulfilled,Pending,80.0,1,1,90.0,Custom,0.0,Low,10.0,AE,UPS,Web,80.0,90.0,Dress
28,R-S-1021,2017-05-15,12:37:59,Oversized Blackberry Shirtdress - OS,No,Not Cancelled,USD,Pending,Unfulfilled,Fulfilled,80.0,1,1,0.0,Custom,0.0,0,0.0,AE,Local shipping,Web,0.0,0.0,Shirtdress
29,R-S-1021,2017-05-15,12:37:59,Pink Pique Tunic - M,No,Not Cancelled,USD,Pending,Unfulfilled,Fulfilled,45.0,1,1,0.0,Custom,0.0,0,0.0,AE,Local shipping,Web,0.0,0.0,Sweat Pants
30,R-S-1021,2017-05-15,12:37:59,Red Milly Top - Red / M,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,70.0,1,1,0.0,Checkout,0.0,Low,25.0,FR,Aramex,Web,195.0,220.0,Top
31,R-S-1022,2017-05-20,20:58:29,Pink May Ribbon Tunic - M,No,Cancelled,USD,Pending,Unfulfilled,Pending,70.0,1,1,75.0,Custom,0.0,Low,5.0,AE,UPS,Web,70.0,75.0,Sweat Pants
32,R-S-1023,2017-05-21,12:32:12,Overized Nude Shirtdress - M,No,Cancelled,USD,Pending,Unfulfilled,Pending,85.0,1,1,85.0,Custom,0.0,Low,0.0,LB,Free shipping,Web,85.0,85.0,Shirtdress
33,R-S-1024,2017-05-22,16:54:34,Black Skirt Pants - Black / M,No,Not Cancelled,USD,Pending,Unfulfilled,Pending,80.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Pants
34,R-S-1024,2017-05-22,16:54:34,Grey Ruffle Sleeve Shirtdress - M,No,Not Cancelled,USD,Pending,Unfulfilled,Pending,60.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Shirtdress
35,R-S-1024,2017-05-22,16:54:34,Overized Nude Shirtdress - S,No,Cancelled,USD,Pending,Unfulfilled,Pending,85.0,1,1,225.0,Custom,0.0,Low,0.0,LB,Free shipping,Web,225.0,225.0,Shirtdress
36,R-S-1025,2017-05-22,18:04:08,Black & White Culotte Pants - L,No,Not Cancelled,USD,Pending,Unfulfilled,Fulfilled,60.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Pants
37,R-S-1025,2017-05-22,18:04:08,Black & White Waterfall Top - L,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,90.0,1,1,0.0,Checkout,0.0,Low,0.0,QA,Free shipping,Web,275.0,275.0,Top
38,R-S-1025,2017-05-22,18:04:08,Black Sweat Suit - L,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,80.0,1,1,0.0,Checkout,0.0,0,0.0,QA,Local shipping,Web,0.0,0.0,Suit
39,R-S-1025,2017-05-22,18:04:08,White Basic Cotton Sweat Dress - White / L,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,45.0,1,1,0.0,Checkout,0.0,0,0.0,QA,Local shipping,Web,0.0,0.0,Dress
40,R-S-1026,2017-05-26,11:37:08,Navy Phantom Shirtdress - OS,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,80.0,1,1,0.0,Checkout,0.0,Low,0.0,LB,Free shipping,Web,80.0,80.0,Shirtdress
41,R-S-1034,2017-06-08,14:28:38,Cardinal OmbrÌ© Scarf,No,Not Cancelled,USD,Paid,Fulfilled,Pending,60.0,1,0,0.0,Checkout,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Scarf
42,R-S-1034,2017-06-08,14:28:38,Red May Top - L,No,Cancelled,USD,Pending,Unfulfilled,Pending,60.0,1,1,220.0,Custom,0.0,Low,0.0,LB,Free shipping,Web,220.0,220.0,Top
43,R-S-1034,2017-06-08,14:28:38,Red Sherwal Pants - OS,No,Not Cancelled,USD,Pending,Unfulfilled,Pending,100.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Pants
44,R-S-1035,2017-06-08,20:42:49,Black and White Zip-Up Top - S,No,Not Cancelled,USD,Pending,Unfulfilled,Fulfilled,100.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Top
45,R-S-1035,2017-06-08,20:42:49,Grey Ruffle Sleeve Shirtdress - S,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,60.0,1,1,0.0,Checkout,0.0,Low,0.0,LB,Free shipping,Web,395.0,395.0,Shirtdress
46,R-S-1035,2017-06-08,20:42:49,Grey Sweat Suit - S,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,80.0,1,1,0.0,Checkout,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Suit
47,R-S-1035,2017-06-08,20:42:49,Pink Crepe Culotte Pants - S,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,110.0,1,1,0.0,Checkout,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Pants
48,R-S-1035,2017-06-08,20:42:49,Pink Pique Tunic - S,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,45.0,1,1,0.0,Checkout,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Sweat Pants
49,R-S-1036,2017-08-07,16:01:27,Blue Flare Shirtdress - L,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,70.0,1,1,0.0,Checkout,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Shirtdress
50,R-S-1036,2017-08-07,16:01:27,Grey Ruffle Sleeve Shirtdress - L,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,60.0,1,1,0.0,Checkout,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Shirtdress
51,R-S-1036,2017-08-07,16:01:27,Lace Phantom Top - OS,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,150.0,1,1,0.0,Checkout,0.0,Low,0.0,ES,Free shipping,Web,950.0,950.0,Top
52,R-S-1036,2017-08-07,16:01:27,Light Navy Cape,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,160.0,1,1,0.0,Checkout,0.0,0,0.0,ES,Local shipping,Web,0.0,0.0,Cape
53,R-S-1036,2017-08-07,16:01:27,Magenta OmbrÌ© Scarf,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,60.0,1,0,0.0,Checkout,0.0,0,0.0,ES,Local shipping,Web,0.0,0.0,Scarf
54,R-S-1036,2017-08-07,16:01:27,Maxi Military Shirt Dress - M,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,80.0,1,1,0.0,Checkout,0.0,0,0.0,ES,Local shipping,Web,0.0,0.0,Dress
55,R-S-1036,2017-08-07,16:01:27,Overized Nude Shirtdress - OS,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,85.0,1,1,0.0,Checkout,0.0,0,0.0,ES,Local shipping,Web,0.0,0.0,Shirtdress
56,R-S-1036,2017-08-07,16:01:27,Oversized Blackberry Shirtdress - OS,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,80.0,1,1,0.0,Checkout,0.0,0,0.0,ES,Local shipping,Web,0.0,0.0,Shirtdress
57,R-S-1036,2017-08-07,16:01:27,Pink May Ribbon Tunic - L,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,70.0,1,1,0.0,Checkout,0.0,0,0.0,ES,Local shipping,Web,0.0,0.0,Sweat Pants
58,R-S-1036,2017-08-07,16:01:27,Pink Pique Tunic - L,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,45.0,1,1,0.0,Checkout,0.0,0,0.0,ES,Local shipping,Web,0.0,0.0,Sweat Pants
59,R-S-1036,2017-08-07,16:01:27,White Basic Cotton Sweater - White / L,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,35.0,1,1,0.0,Checkout,0.0,0,0.0,ES,Local shipping,Web,0.0,0.0,Sweater
60,R-S-1036,2017-08-07,16:01:27,White Cotton Shirtdress - L,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,55.0,1,1,0.0,Checkout,0.0,0,0.0,ES,Local shipping,Web,0.0,0.0,Shirtdress
61,R-S-1037,2017-09-09,22:24:55,Black Jersey With Shirt Detail - S,No,Not Cancelled,USD,Paid,Fulfilled,Pending,45.0,1,1,0.0,Checkout,0.0,0,0.0,ES,Local shipping,Web,0.0,0.0,Sweat Pants
62,R-S-1037,2017-09-09,22:24:55,Black Sweat Suit - S,No,Cancelled,USD,Pending,Unfulfilled,Pending,80.0,1,1,160.0,Custom,0.0,Low,0.0,LB,Free shipping,Web,160.0,160.0,Suit
63,R-S-1037,2017-09-09,22:24:55,White Basic Cotton Sweater - White / M,No,Not Cancelled,USD,Pending,Unfulfilled,Pending,35.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Sweater
64,R-S-1038,2017-11-01,07:00:05,Black Maxi Knitted Dress,No,Not Cancelled,USD,Pending,Unfulfilled,Fulfilled,80.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Dress
65,R-S-1038,2017-11-01,07:00:05,Blue Colorblock  Top - L,No,Not Cancelled,USD,Pending,Unfulfilled,Fulfilled,55.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Top
66,R-S-1038,2017-11-01,07:00:05,Burgundy Maxi Knitted Dress,No,Not Cancelled,USD,Pending,Unfulfilled,Fulfilled,80.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Dress
67,R-S-1038,2017-11-01,07:00:05,Hybrid Colorblock Pants - M,No,Not Cancelled,USD,Pending,Unfulfilled,Fulfilled,80.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Pants
68,R-S-1038,2017-11-01,07:00:05,Lightweight Military Bomber Jacket - M,No,Not Cancelled,USD,Pending,Unfulfilled,Fulfilled,100.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Jacket
69,R-S-1038,2017-11-01,07:00:05,Military Ribbon Pants - M,No,Not Cancelled,USD,Pending,Unfulfilled,Fulfilled,55.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Pants
70,R-S-1038,2017-11-01,07:00:05,Pink Sweat Suit - L,No,Not Cancelled,USD,Pending,Unfulfilled,Fulfilled,80.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Suit
71,R-S-1038,2017-11-01,07:00:05,Red Puff Sleeve Dress - L,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,55.0,1,1,0.0,Checkout,0.0,Low,0.0,US,Free shipping,Web,585.0,585.0,Dress
72,R-S-1039,2017-11-05,07:01:13,Pleated White & Silver Ensemble - OS,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,140.0,1,1,0.0,Checkout,0.0,Low,20.0,CA,Aramex,Web,140.0,160.0,Ensemble
73,R-S-1040,2017-11-26,21:12:10,Grey Knitted Coord Set,No,Cancelled,USD,Voided,Unfulfilled,Pending,85.0,1,1,85.0,Custom,0.0,Low,0.0,LB,Free shipping,Web,85.0,85.0,Set
74,R-S-1041,2017-11-27,19:51:31,Pink Bomber Ensemble - S,No,Cancelled,USD,Voided,Unfulfilled,Pending,120.0,1,1,123.0,Custom,0.0,Low,3.0,LB,Local shipping,Web,120.0,123.0,Ensemble
75,R-S-1042,2017-11-27,20:38:27,Floral Quilted Cardigan - Black / One Size,No,Cancelled,USD,Voided,Unfulfilled,Pending,50.0,1,1,208.0,Custom,0.0,Low,3.0,LB,Local shipping,Web,205.0,208.0,Cardigan
76,R-S-1042,2017-11-27,20:38:27,Maxi Blue Jaquard Skirt - M,No,Not Cancelled,USD,Voided,Unfulfilled,Pending,35.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Skirt
77,R-S-1042,2017-11-27,20:38:27,Oversized Quilted Sweater Dress-Emerald - One Size,No,Not Cancelled,USD,Voided,Unfulfilled,Pending,40.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Dress
78,R-S-1042,2017-11-27,20:38:27,Pink Oversized Maxi Dress - M / Pink,No,Not Cancelled,USD,Voided,Unfulfilled,Pending,30.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Dress
79,R-S-1042,2017-11-27,20:38:27,Striped Navy Shirtdress - L / Blue,No,Not Cancelled,USD,Voided,Unfulfilled,Pending,20.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Shirtdress
80,R-S-1042,2017-11-27,20:38:27,White Cross Shirt - M,No,Not Cancelled,USD,Voided,Unfulfilled,Pending,30.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Sweat Pants
81,R-S-1043,2017-11-27,21:05:36,Basic Black Skirt - Black / M,No,Cancelled,USD,Voided,Unfulfilled,Pending,20.0,1,1,23.0,Custom,0.0,Low,3.0,LB,Local shipping,Web,20.0,23.0,Skirt
82,R-S-1044,2017-11-27,21:11:05,Jane Austin Skirt - M,No,Cancelled,USD,Voided,Unfulfilled,Pending,60.0,1,1,63.0,Custom,0.0,Low,3.0,LB,Local shipping,Web,60.0,63.0,Skirt
83,R-S-1045,2017-11-27,21:42:49,Hi-Lo Top - White / M,No,Cancelled,USD,Voided,Unfulfilled,Pending,15.0,1,1,18.0,Custom,0.0,Low,3.0,LB,Local shipping,Web,15.0,18.0,Top
84,R-S-1046,2017-11-27,23:29:28,Basic Blue Shirtdress - L / Blue,No,Cancelled,USD,Voided,Unfulfilled,Pending,20.0,1,1,143.0,Custom,0.0,Low,3.0,LB,Local shipping,Web,140.0,143.0,Shirtdress
85,R-S-1046,2017-11-27,23:29:28,Draped Diana Vest - White / One Size,No,Not Cancelled,USD,Voided,Unfulfilled,Pending,35.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Vest
86,R-S-1046,2017-11-27,23:29:28,Phantom Dress - Black / One Size / Short,No,Not Cancelled,USD,Voided,Unfulfilled,Pending,25.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Dress
87,R-S-1046,2017-11-27,23:29:28,Pink Oversized Maxi Dress - L / Pink,No,Not Cancelled,USD,Voided,Unfulfilled,Pending,30.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Dress
88,R-S-1046,2017-11-27,23:29:28,White Phantom Dress - White / One Size,No,Not Cancelled,USD,Voided,Unfulfilled,Pending,30.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Dress
89,R-S-1047,2017-11-28,00:51:38,Belted Blue Shirtdress - M / Blue,No,Not Cancelled,USD,Voided,Unfulfilled,Pending,25.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Shirtdress
90,R-S-1047,2017-11-28,00:51:38,Blue Grosgrain Longline Jacket - S,No,Not Cancelled,USD,Voided,Unfulfilled,Pending,40.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Jacket
91,R-S-1047,2017-11-28,00:51:38,BouclÌ© Detail Shirtdress - M,No,Not Cancelled,USD,Voided,Unfulfilled,Pending,35.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Shirtdress
92,R-S-1047,2017-11-28,00:51:38,Burgundy Phantom Top,No,Not Cancelled,USD,Voided,Unfulfilled,Pending,30.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Top
93,R-S-1047,2017-11-28,00:51:38,Maxi Navy Shirt Dress - S,No,Cancelled,USD,Voided,Unfulfilled,Pending,40.0,1,1,213.0,Custom,0.0,Low,3.0,LB,Local shipping,Web,210.0,213.0,Dress
94,R-S-1047,2017-11-28,00:51:38,Mia Sweatsuit - M / Navy,No,Not Cancelled,USD,Voided,Unfulfilled,Pending,40.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Sweatsuit
95,R-S-1048,2017-11-28,13:34:02,Belted Blue Shirtdress - M / Blue,No,Not Cancelled,USD,Voided,Unfulfilled,Pending,25.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Shirtdress
96,R-S-1048,2017-11-28,13:34:02,Black & White Ribbon Dress - S / Black,No,Cancelled,USD,Voided,Unfulfilled,Pending,35.0,1,1,98.0,Custom,0.0,Low,3.0,LB,Local shipping,Web,95.0,98.0,Dress
97,R-S-1048,2017-11-28,13:34:02,Oversized Diana Sweater Dress - S / White,No,Not Cancelled,USD,Voided,Unfulfilled,Pending,35.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Dress
98,R-S-1049,2017-11-28,16:50:15,Black Ruffle Dress - M / Black,No,Cancelled,USD,Paid,Unfulfilled,Pending,29.0,1,1,0.0,Checkout,0.0,Low,3.0,LB,Local shipping,Web,29.0,32.0,Dress
99,R-S-1050,2017-11-28,17:36:10,Mia Silk Sweater Dress - S,No,Cancelled,USD,Voided,Unfulfilled,Pending,35.0,1,1,38.0,Custom,0.0,Low,3.0,LB,Local shipping,Web,35.0,38.0,Dress
100,R-S-1051,2017-11-28,22:24:00,Maggy BouclÌ© Sweater Dress - Black / M,No,Cancelled,USD,Voided,Unfulfilled,Pending,50.0,1,1,53.0,Custom,0.0,Low,3.0,LB,Local shipping,Web,50.0,53.0,Dress
101,R-S-1052,2017-11-28,22:38:00,Basic White Shirtdress - M / White / Short,No,Not Cancelled,USD,Voided,Unfulfilled,Pending,20.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Shirtdress
102,R-S-1052,2017-11-28,22:38:00,Belted Blue Shirtdress - L / Blue,No,Cancelled,USD,Voided,Unfulfilled,Pending,25.0,1,1,77.0,Custom,0.0,Low,3.0,LB,Local shipping,Web,74.0,77.0,Shirtdress
103,R-S-1052,2017-11-28,22:38:00,White Ruffle Dress - M / White,No,Not Cancelled,USD,Voided,Unfulfilled,Pending,29.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Dress
104,R-S-1053,2017-11-28,23:59:12,Citron Bomber Jacket - M,No,Not Cancelled,USD,Voided,Unfulfilled,Pending,35.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Jacket
105,R-S-1053,2017-11-28,23:59:12,Pink Oversized Maxi Dress - M / Pink,No,Cancelled,USD,Voided,Unfulfilled,Pending,30.0,1,1,113.0,Custom,0.0,Low,3.0,LB,Local shipping,Web,110.0,113.0,Dress
106,R-S-1053,2017-11-28,23:59:12,Striped Navy Shirtdress - L / Blue,No,Not Cancelled,USD,Voided,Unfulfilled,Pending,20.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Shirtdress
107,R-S-1053,2017-11-28,23:59:12,Wide Pants - Black / M,No,Not Cancelled,USD,Voided,Unfulfilled,Pending,25.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Pants
108,R-S-1054,2017-11-29,00:58:34,Mia White Sweater Dress - M / White,No,Cancelled,USD,Voided,Unfulfilled,Pending,20.0,1,1,23.0,Custom,0.0,Low,3.0,LB,Local shipping,Web,20.0,23.0,Dress
109,R-S-1055,2017-11-29,01:06:55,Black Quilted Draped Vest - Black / One Size,No,Cancelled,USD,Voided,Unfulfilled,Pending,30.0,1,1,133.0,Custom,0.0,Low,3.0,LB,Local shipping,Web,130.0,133.0,Vest
110,R-S-1055,2017-11-29,01:06:55,Cape Jacket - M / White,No,Not Cancelled,USD,Voided,Unfulfilled,Pending,70.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Jacket
111,R-S-1055,2017-11-29,01:06:55,Tulle Skirt - Cream / M,No,Not Cancelled,USD,Voided,Unfulfilled,Pending,30.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Skirt
112,R-S-1056,2017-11-29,10:07:26,Hi-Lo Top - White / L,No,Not Cancelled,USD,Voided,Unfulfilled,Pending,15.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Top
113,R-S-1056,2017-11-29,10:07:26,Wide Pants - Military / L,No,Cancelled,USD,Voided,Unfulfilled,Pending,25.0,1,1,43.0,Custom,0.0,Low,3.0,LB,Local shipping,Web,40.0,43.0,Pants
114,R-S-1057,2017-11-29,10:23:28,Dust Pink Phantom Co-ord - L,No,Cancelled,USD,Voided,Unfulfilled,Pending,80.0,1,1,205.0,Custom,0.0,Low,30.0,KW,Aramex,Web,175.0,205.0,Sweat Pants
